Sequence #,Field name,Field description,Controlled value choices
290,Phenophase_ID,"The unique identifier of the phenophase for which the status record was made. Note that there can be several names and definitions for a given phenophase as they vary between datasets and can change over time within datasets. All definitions lumped under the same Phenophase_ID are considered equivalent for the purposes of general phenological analysis. More information can be found in the ancillary data files for ""Phenophase"" and ""Phenophase Definition"".",
300,Phenophase_Category,The overarching life stage category of the phenophase for which the status record was made. Each category includes all phenophases across all plant or animal taxa that target that life stage.,Leaves [for plants]|Flowers [for plants]|Fruits [for plants]|Needles [for plants]|Pollen cones [for plants]|Seed cones [for plants]|Activity [for animals]|Reproduction [for animals]|Development [for animals]|Method [for animals]
310,Phenophase_Description,"The descriptive title of the phenophase for which the status record was made. This is the overarching title of the phenophase defined by Phenophase_ID, and may include several different names and definitions (as defined in the Phenophase_Name and Phenophase_Definition_ID fields), as these vary between datasets and can change over time within datasets. More information can be found in the ancillary data file for ""Phenophase"".",
320,Phenophase_Name,The name used to describe the phenophase at the time the status observation was made in the field. ,
330,Phenophase_Definition_ID,"The unique identifier of the descriptive definition used to define the phenophase at the time the status observation was made in the field. More information can be found in the ancillary data files for ""Phenophase"" and ""Phenophase Definition"".",
340,Species-Specific_Info_ID,"The unique identifier of the record which includes species-specific information (additional, species-specific phenophase definition and/or intensity category) assigned to the phenophase for this species at the time the status observation was made in the field. A value of ""-9999"" indicates there was no species-specific information assigned to this phenophase for this species at the time the observation was made. More information can be found in the ancillary data file for"" Species-Specific Information"".",
350,Observation_Date,The date the status observation was made in the field.,
360,Observation_Time,"The time of day the status observation was made in the field. A value of ""0:00:00"" indicates either that no time was specified, or that the time of midnight was reported.",
370,Day_of_Year,"The day of year, ranging from 1 to 366, that the status observation was made in the field.",
380,Phenophase_Status,The status (i.e. presence or absence) of the phenophase at the time the observation was made in the field.,"1 [""yes the phenophase is occuring""]|0 [""no the phenophase is not occuring""]|-1 [""not certain whether the phenophase is occuring""]"
390,Intensity_Category_ID,"The unique identifier of the intensity category assigned to the phenophase for this species at the time the status observation was made in the field. Intensity measures allow reporting of the degree to which a phenophase is expressed. More information can be found in the ancillary data file for ""Intensity"". A value of ""-9999"" indicates there was no intensity category assigned to this phenophase for this species at the time the observation was made.",
410,Intensity_Value,"The value reported in response to the intensity category question assigned to the phenophase for this species at the time the status observation was made in the field. The list of allowable responses for this intensity category question can be found in the ancillary data file for ""Intensity"".",
420,Abundance_Value,"Used only for animal observations, the value reported in response to the instruction, ""enter the number of individual animals observed in this phenophase"".",
430,Site_Visit_ID,"The unique identifier for the group of all status observations made at the site during the same visit. Information about survey time, methods, and site conditions at the time of the visit can be found in the ancillary data file for ""Site Visit"".",
440,Observation_Comments,Comments from the observer about the individual plant or animal species at the time the status observation was made in the field.,
450,Observed_Status_Conflict_Flag,"Indicates the presence and type of conflict (i.e. reported Phenophase_Status of both ""yes"" and ""no"" on the same observation date) between this and at least one other phenophase status record for this same individual plant or animal species at this site.",MultiObserver-StatusConflict|OneObserver-StatusConflict
460,Status_Conflict_Related_Records,The Observation_ID numbers (separated by commas) for other records involved in a phenophase status conflict with this record.,
470,AGDD,"Accumulated growing degree days (in degrees Celsius) on the Observation_Date. This is the sum of growing degree days (GDD) since January 1st, where GDD is calculated as the number of degrees C by which each day's average temperature exceeds 0 degrees C (i.e., (Tmax + Tmin)/2 - 0 degrees C). From Daymet (http://daymet.ornl.gov).",
480,AGDD_in_F,"Accumulated growing degree days (in degrees Fahrenheit) on the Observation_Date. This is the sum of growing degree days (GDD) since January 1st, where GDD is calculated as the number of degrees F by which each day's average temperature exceeds 32 degrees F (i.e., (Tmax + Tmin)/2 - 32 degrees F). From Daymet (http://daymet.ornl.gov).",
490,Tmax_Winter,Average maximum temperature (in degrees C) for the winter season of the year of the Observation_Date (December of previous year to February of the year of the Observation_Date). From Daymet (http://daymet.ornl.gov).,
500,Tmax_Spring,Average maximum temperature (in degrees C) for the spring season of the year of the Observation_Date (March-May). From Daymet (http://daymet.ornl.gov).,
510,Tmax_Summer,Average maximum temperature (in degrees C) for the summer season of the year of the Observation_Date (June-August). From Daymet (http://daymet.ornl.gov).,
520,Tmax_Fall,"Average maximum temperature (in degrees C) for the previous year's fall season (September-November), relative to the year of the Observation_Date. From Daymet (http://daymet.ornl.gov).",
530,Tmax,Maximum temperature (in degrees C) on the Observation_Date. From Daymet (http://daymet.ornl.gov).,
540,Tmax_in_F,Maximum temperature (in degrees F) on the Observation_Date. From Daymet (http://daymet.ornl.gov).,
550,Tmin_Winter,Average minimum temperature (in degrees C) for the winter season of the year of the Observation_Date (December of previous year to February of the year of the Observation_Date). From Daymet (http://daymet.ornl.gov).,
560,Tmin_Spring,Average minimum temperature (in degrees C) for the spring season of the year of the Observation_Date (March-May). From Daymet (http://daymet.ornl.gov).,
570,Tmin_Summer,Average minimum temperature (in degrees C) for the summer season of the year of the Observation_Date (June-August). From Daymet (http://daymet.ornl.gov).,
580,Tmin_Fall,"Average minimum temperature (in degrees C) for the previous year's fall season (September-November), relative to the year of the Observation_Date. From Daymet (http://daymet.ornl.gov).",
590,Tmin,Minimum temperature (in degrees C) on the Observation_Date. From Daymet (http://daymet.ornl.gov).,
600,Tmin_in_F,Minimum temperature (in degrees F) on the Observation_Date. From Daymet (http://daymet.ornl.gov).,
610,Prcp_Winter,Accumulated precipitation (in mm) for the winter season of the year of the Observation_Date (December of previous year to February of the year of the Observation_Date ). From Daymet (http://daymet.ornl.gov).,
620,Prcp_Spring,Accumulated precipitation (in mm) for the spring season of the year of the Observation_Date (March-May). From Daymet (http://daymet.ornl.gov).,
630,Prcp_Summer,Accumulated precipitation (in mm) for the summer season of the year of the Observation_Date (June-August). From Daymet (http://daymet.ornl.gov).,
640,Prcp_Fall,"Accumulated precipitation (in mm) for the previous year's fall season (September-November), relative to the year of the Observation_Date. From Daymet (http://daymet.ornl.gov).",
650,Prcp,Precipitation (in mm) on the Observation_Date. From Daymet (http://daymet.ornl.gov).,
660,Accum_Prcp,Accumulated precipitation (in mm) from January 1st to the Observation_Date. From Daymet (http://daymet.ornl.gov).,
670,Daylength,Number of seconds of daylight on the Observation_Date. From Daymet (http://daymet.ornl.gov).,
